Gender,Age,Time,Event,Year
M,20,49.10,e3,2016
F,26,53.52,e3,2016
M,16,47.30,e3,2016
M,14,47.35,e3,2016
M,20,42.46,e3,2016
F,16,50.02,e3,2016
F,24,47.59,e3,2016
M,18,41.13,e3,2016
M,21,41.28,e3,2016
M,18,39.46,e3,2016
F,15,46.07,e3,2016
M,17,38.39,e3,2016
F,51,49.18,e3,2016
M,30,37.56,e3,2016
F,14,46.02,e3,2016
F,24,42.48,e3,2016
M,23,37.39,e3,2016
M,27,37.04,e3,2016
M,26,36.25,e3,2016
M,22,36.26,e3,2016
M,23,35.48,e3,2016
M,19,35.30,e3,2016
F,28,40.06,e3,2016
M,27,34.58,e3,2016
F,23,39.29,e3,2016
F,28,39.11,e3,2016
M,18,34.18,e3,2016
M,15,35.26,e3,2016
F,15,40.38,e3,2016
F,26,38.15,e3,2016
F,29,38.03,e3,2016
M,14,35.06,e3,2016
F,31,37.45,e3,2016
M,17,32.44,e3,2016
F,19,36.51,e3,2016
F,29,36.52,e3,2016
F,21,36.11,e3,2016
F,21,36.02,e3,2016
F,26,36.03,e3,2016
F,18,36.15,e3,2016
F,28,35.49,e3,2016
F,37,35.49,e3,2016
F,17,36.01,e3,2016
M,20,30.37,e3,2016
F,18,35.01,e3,2016
F,18,35.08,e3,2016
F,29,34.43,e3,2016
F,16,35.44,e3,2016
F,21,34.29,e3,2016
F,15,36.17,e3,2016
F,17,34.46,e3,2016
M,26,29.48,e3,2016
M,28,29.55,e3,2016
F,22,33.00,e3,2016
M,16,29.08,e3,2016
F,17,33.02,e3,2016
F,17,32.53,e3,2016
F,16,33.23,e3,2016
F,27,32.00,e3,2016
F,29,31.11,e3,2016
M,30,27.04,e3,2016
F,27,30.42,e3,2016
M,20,26.12,e3,2016
F,21,29.37,e3,2016
M,17,26.02,e3,2016
F,29,29.17,e3,2016
M,18,25.25,e3,2016
M,14,26.57,e3,2016
M,19,25.18,e3,2016
F,17,29.17,e3,2016
M,24,24.48,e3,2016
F,25,28.05,e3,2016
F,22,28.11,e3,2016
F,21,27.45,e3,2016
F,16,28.26,e3,2016
M,19,23.09,e3,2016
M,17,22.38,e3,2016
M,14,23.20,e3,2016
F,23,24.42,e3,2016
F,22,24.44,e3,2016
M,16,21.52,e3,2016
F,18,24.14,e3,2016
M,18,20.51,e3,2016
M,23,19.54,e3,2016
F,18,22.04,e3,2016
M,23,19.02,e3,2016
M,20,20.45,e3,2018
F,20,21.56,e3,2018
M,15,22.24,e3,2018
F,18,22.32,e3,2018
M,15,24.00,e3,2018
M,27,25.05,e3,2018
M,26,25.27,e3,2018
M,15,26.09,e3,2018
F,25,26.12,e3,2018
M,16,26.14,e3,2018
F,28,26.17,e3,2018
F,14,26.31,e3,2018
M,24,26.38,e3,2018
M,25,27.13,e3,2018
M,20,27.29,e3,2018
F,15,27.37,e3,2018
M,14,28.04,e3,2018
M,27,28.10,e3,2018
F,26,28.24,e3,2018
F,30,28.28,e3,2018
F,14,28.35,e3,2018
F,24,28.38,e3,2018
F,15,29.13,e3,2018
F,15,30.41,e3,2018
F,17,31.02,e3,2018
F,14,31.11,e3,2018
M,23,31.38,e3,2018
F,16,31.41,e3,2018
F,15,31.44,e3,2018
F,15,32.03,e3,2018
F,26,32.31,e3,2018
M,15,32.41,e3,2018
M,17,32.48,e3,2018
F,23,33.24,e3,2018
F,16,33.28,e3,2018
F,14,33.50,e3,2018
F,16,34.27,e3,2018
F,14,34.50,e3,2018
M,16,35.15,e3,2018
M,16,35.22,e3,2018
F,19,35.36,e3,2018
M,17,36.08,e3,2018
M,17,36.11,e3,2018
M,17,36.14,e3,2018
M,20,36.21,e3,2018
M,19,36.26,e3,2018
F,28,36.29,e3,2018
F,15,36.45,e3,2018
F,14,36.49,e3,2018
F,16,37.06,e3,2018
F,20,37.15,e3,2018
M,21,37.46,e3,2018
M,13,37.47,e3,2018
M,15,37.54,e3,2018
M,30,38.16,e3,2018
M,20,38.21,e3,2018
F,24,38.25,e3,2018
F,21,39.10,e3,2018
F,22,39.12,e3,2018
F,19,39.14,e3,2018
F,17,39.55,e3,2018
M,16,40.14,e3,2018
M,14,40.29,e3,2018
F,17,40.31,e3,2018
F,15,40.35,e3,2018
M,23,41.05,e3,2018
F,17,42.41,e3,2018
F,18,42.51,e3,2018
M,19,42.57,e3,2018
M,16,43.07,e3,2018
M,18,43.25,e3,2018
F,29,43.27,e3,2018
M,18,43.30,e3,2018
F,16,43.36,e3,2018
F,24,44.21,e3,2018
F,30,45.05,e3,2018
M,16,45.22,e3,2018
M,21,45.45,e3,2018
M,22,45.49,e3,2018
F,22,45.50,e3,2018
M,21,47.03,e3,2018
F,27,47.27,e3,2018
M,16,47.30,e3,2018
M,16,49.37,e3,2018
M,18,49.54,e3,2018
M,17,49.58,e3,2018
M,18,52.53,e3,2018
M,13,53.28,e3,2018
M,16,53.44,e3,2018
M,15,53.48,e3,2018
M,16,60.00,e3,2019
M,28,20.06,e3,2019
M,21,20.16,e3,2019
F,21,20.29,e3,2019
M,16,20.57,e3,2019
M,15,23.43,e3,2019
F,15,24.49,e3,2019
