Gender,Age,Time
M,28,20.06
M,21,20.16
F,21,20.29
M,16,20.57
M,15,23.43
F,38,23.57
M,47,24.06
M,50,24.27
M,13,24.36
F,15,24.49
M,12,25.05
M,21,25.20
M,16,25.30
F,12,25.49
M,56,26.01
F,13,26.02
M,43,26.04
F,14,26.17
M,13,26.25
M,16,26.37
F,29,26.38
M,46,26.39
M,12,26.41
M,25,26.42
M,10,26.43
F,16,26.46
M,50,26.54
M,27,27.02
M,12,27.03
F,34,27.06
F,27,27.12
M,13,27.15
M,26,27.17
M,17,27.22
F,14,27.28
M,13,27.35
M,16,27.42
M,33,27.43
M,33,27.53
M,42,27.56
F,15,28.09
M,47,28.20
M,16,28.20
M,46,28.32
F,18,28.37
M,22,28.40
M,26,28.42
M,32,28.42
F,16,28.45
M,46,28.49
M,37,28.52
M,24,28.57
F,44,29.05
M,32,29.12
F,22,29.15
M,30,29.26
F,29,29.31
F,16,29.37
F,14,29.39
M,27,29.41
M,24,29.46
F,46,29.50
M,17,29.50
F,47,29.52
F,12,29.54
F,32,29.57
F,60,30.02
M,22,30.07
F,26,30.12
M,46,30.13
M,58,30.16
F,26,30.16
M,36,30.19
M,50,30.23
F,25,30.23
M,15,30.28
M,50,30.36
M,28,30.45
M,32,30.48
M,34,30.50
F,12,30.57
M,46,30.59
F,14,31.02
F,16,31.03
M,32,31.09
F,12,31.11
M,26,31.24
M,61,31.25
M,33,31.28
F,17,31.31
M,59,31.41
F,12,31.43
M,23,31.49
M,45,31.51
M,14,31.55
M,38,32.08
M,30,32.08
M,15,32.15
M,43,32.18
M,47,32.21
F,33,32.22
M,12,32.23
F,11,32.30
F,13,32.32
M,11,32.35
M,39,32.38
M,32,32.41
F,11,32.44
M,21,32.44
M,36,32.46
M,28,32.49
F,48,32.51
M,31,32.56
M,31,32.58
M,34,33.00
F,14,33.00
F,52,33.10
M,22,33.12
F,14,33.17
F,14,33.23
F,35,33.24
M,60,33.24
M,33,33.34
F,43,33.38
M,52,33.38
M,31,33.38
M,64,33.42
F,11,33.46
F,13,33.49
M,21,33.49
M,24,33.53
M,30,33.57
M,26,34.00
M,13,34.02
M,26,34.14
M,9,34.18
M,16,34.18
M,12,34.19
F,17,34.24
M,29,34.29
M,17,34.33
M,45,34.43
F,17,34.50
F,50,34.52
M,52,35.01
M,28,35.03
M,64,35.06
F,45,35.10
F,25,35.12
F,26,35.14
M,49,35.16
M,32,35.17
F,36,35.18
F,44,35.20
F,40,35.22
F,46,35.28
F,24,35.29
F,53,35.31
F,22,35.35
M,16,35.36
F,12,35.37
F,53,35.38
M,46,35.39
M,9,35.40
M,26,35.41
F,34,35.49
M,19,35.49
M,57,35.52
F,13,35.55
M,9,35.55
F,21,35.57
M,55,35.59
M,42,36.01
M,44,36.04
M,24,36.04
F,30,36.06
M,48,36.07
M,12,36.09
M,33,36.11
F,15,36.27
M,51,36.32
M,46,36.41
F,50,36.42
M,44,36.43
M,13,36.50
M,29,36.50
F,27,36.51
F,21,37.00
M,18,37.03
M,63,37.07
F,46,37.10
M,30,37.12
F,18,37.14
F,37,37.15
M,36,37.19
F,27,37.33
F,26,37.35
M,46,37.35
F,34,37.35
M,21,37.36
F,18,37.38
M,16,37.40
F,55,37.42
M,20,37.43
M,16,37.46
F,25,37.51
F,31,37.55
F,11,37.59
F,21,38.02
M,47,38.03
F,56,38.05
M,50,38.05
F,16,38.06
M,43,38.11
F,25,38.12
M,49,38.24
F,11,38.25
F,49,38.26
F,45,38.27
M,35,38.29
F,49,38.33
F,45,38.39
F,32,38.41
M,28,38.41
F,46,38.44
M,47,38.50
F,57,38.52
M,32,38.53
M,64,38.56
M,12,39.01
M,14,39.00
F,13,39.01
F,48,39.08
F,34,39.13
M,40,39.13
M,25,39.19
F,37,39.21
M,50,39.30
M,12,39.41
M,25,39.50
M,12,39.51
F,21,40.02
M,13,40.07
F,34,40.08
F,42,40.10
M,33,40.12
F,31,40.17
M,25,40.18
M,36,40.25
M,36,40.35
F,19,40.42
F,20,40.47
M,12,40.51
M,34,40.54
F,36,40.59
M,18,41.05
F,25,41.09
M,11,41.15
M,40,41.17
F,16,41.32
M,44,41.42
M,50,41.58
M,17,42.07
M,54,42.11
M,51,42.13
F,11,42.17
M,50,42.22
M,59,42.25
M,16,42.28
M,14,42.35
F,11,42.37
M,50,42.38
F,11,42.42
F,11,42.51
F,10,42.52
M,29,43.07
F,15,43.10
F,15,43.12
F,57,43.14
M,62,43.18
F,50,43.29
F,52,43.32
M,64,43.36
F,14,43.41
F,42,43.46
M,13,43.46
M,12,43.52
F,34,43.58
M,32,43.58
M,59,44.06
F,57,44.12
F,51,44.14
M,36,44.35
M,69,44.41
M,27,44.50
F,33,44.56
M,46,45.03
M,19,45.04
F,53,45.10
F,10,45.14
M,41,45.17
F,56,45.34
M,35,45.35
F,29,45.36
F,45,45.48
M,62,45.54
F,37,46.32
M,45,46.32
M,18,47.09
M,52,47.10
F,49,47.15
M,42,47.16
F,35,47.28
M,65,47.29
M,30,47.39
F,47,47.54
M,20,48.24
F,46,48.28
M,36,48.38
F,59,48.39
M,42,48.56
M,54,49.20
F,28,49.31
M,27,49.33
M,10,49.44
F,46,49.47
M,63,49.48
M,18,50.03
M,18,50.38
M,35,51.01
M,29,51.06
F,50,51.25
F,13,51.53
F,19,51.55
F,14,52.01
M,48,52.20
F,33,53.24
F,22,54.14
M,16,55.06
F,35,55.27
M,16,59.13
M,16,59.13
